id;type;latitude;longitude;keygroupID
satellite0;satellite;37.84098882413646;31.040160869797127;802dfffffffffff
satellite1;satellite;37.84098882413646;148.95983913020288;802ffffffffffff
satellite2;satellite;-37.84098882413646;-148.95983913020288;80c7fffffffffff
satellite3;satellite;-37.84098882413648;-31.04016086979714;80c5fffffffffff
satellite4;satellite;0.0;90.0;8087fffffffffff
satellite5;satellite;60.178701854798625;180.0;8017fffffffffff
satellite6;satellite;6.087561262419284e-15;-90.00000000000001;806dfffffffffff
satellite7;satellite;-60.178701854798625;-1.8818481053770218e-14;80ddfffffffffff
satellite8;satellite;19.390743484280645;-166.00259240823826;8047fffffffffff
satellite9;satellite;53.27741530503121;-55.461378903290765;801bfffffffffff
satellite10;satellite;-19.390743484280627;13.997407591761718;80adfffffffffff
satellite11;satellite;-53.27741530503124;124.53862109670919;80d9fffffffffff
satellite12;satellite;53.27741530503121;-34.538621096709264;801bfffffffffff
satellite13;satellite;19.39074348428065;76.00259240823826;8061fffffffffff
satellite14;satellite;-53.27741530503119;145.4613789032907;80d9fffffffffff
satellite15;satellite;-19.390743484280684;-103.99740759176177;8093fffffffffff
